index	armId
0	1
1	2
2	7
3	8
4	9
5	10
6	11
7	14
8	15
9	16
10	17
11	18
12	19
13	20
14	22
15	24
16	25
17	26
18	27
19	30
20	32
21	33
22	34
23	35
24	36
25	37
26	38
27	41
28	42
29	43
30	44
31	46
32	48
33	53
34	58
35	59
36	60
37	61
38	62
39	64
40	65
41	68
42	71
43	72
44	73
45	74
46	75
47	76
48	78
49	79
50	80
51	81
52	82
53	83
54	84
55	85
56	87
57	88
58	89
59	90
60	91
61	92
62	93
63	94
64	96
65	98
66	103
67	105
68	106
69	108
70	109
71	111
72	112
73	113
74	119
75	120
76	124
77	125
78	126
79	127
80	129
81	133
82	135
83	136
84	138
85	139
86	140
87	149
88	153
89	155
90	156
91	157
92	163
93	164
94	166
95	167
96	168
97	169
98	170
99	175
100	177
101	182
102	183
103	184
104	189
105	191
106	192
107	197
108	205
109	206
110	210
111	211
112	212
113	213
114	215
115	217
116	218
117	219
118	221
119	222
120	224
121	225
122	226
123	227
124	228
125	230
126	231
127	232
128	233
129	234
130	235
131	236
132	237
133	240
134	241
135	242
136	243
137	244
138	245
139	246
140	247
141	249
142	250
143	251
144	253
145	254
146	255
147	256
148	257
149	258
150	259
151	260
152	262
153	263
154	264
155	265
156	266
157	267
158	268
159	269
160	270
161	271
162	272
163	273
164	274
165	275
166	276
167	277
168	279
169	280
170	281
171	282
172	283
173	284
174	285
175	286
176	287
177	288
178	289
179	291
180	292
181	293
182	294
183	296
184	297
185	299
186	301
187	302
188	303
189	304
190	305
191	306
192	307
193	308
194	310
195	311
196	312
197	313
198	314
199	315
200	316
201	317
202	318
203	320
204	323
205	324
206	325
207	326
208	327
209	328
210	329
211	330
212	331
213	332
214	333
215	334
216	336
217	337
218	338
219	339
220	340
221	341
222	342
223	344
224	345
225	346
226	347
227	348
228	349
229	350
230	351
231	352
232	353
233	356
234	358
235	359
236	360
237	361
238	362
239	363
240	365
241	366
242	367
243	368
244	369
245	370
246	371
247	374
248	375
249	376
250	378
251	379
252	380
253	382
254	383
255	384
256	385
257	386
258	387
259	388
260	389
261	390
262	391
263	392
264	393
265	395
266	396
267	397
268	398
269	399
270	400
271	401
272	402
273	403
274	405
275	406
276	407
277	408
278	409
279	410
280	412
281	413
282	414
283	415
284	417
285	418
286	419
287	420
288	421
289	422
290	425
291	427
292	428
293	429
294	430
295	431
296	432
297	433
298	436
299	437
300	438
301	439
302	440
303	441
304	442
305	443
306	444
307	445
308	446
309	447
310	449
311	450
312	451
313	453
314	454
315	455
316	456
317	457
318	458
319	459
320	461
321	463
322	464
323	465
324	466
325	467
326	468
327	469
328	470
329	471
330	472
331	473
332	474
333	475
334	476
335	477
336	478
337	479
338	480
339	481
340	482
341	483
342	484
343	485
344	486
345	487
346	489
347	490
348	491
349	492
350	493
351	494
352	495
353	496
354	498
355	499
356	500
357	501
358	502
359	504
360	505
361	506
362	507
363	508
364	509
365	510
366	511
367	512
368	513
369	514
370	515
371	516
372	517
373	519
374	524
375	528
376	529
377	530
378	531
379	532
380	533
381	534
382	535
383	536
384	537
385	538
386	539
387	540
388	542
389	543
390	544
391	546
392	549
393	550
394	551
395	552
396	553
397	554
398	555
399	556
400	557
401	558
402	564
403	565
404	566
405	567
406	568
407	570
408	571
409	572
410	573
411	574
412	575
413	576
414	578
415	579
416	580
417	581
418	584
419	585
420	586
421	587
422	588
423	589
424	590
425	591
426	592
427	593
428	594
429	595
430	599
431	600
432	601
433	602
434	603
435	604
436	605
437	606
438	607
439	608
440	609
441	610
442	611
443	612
444	613
445	614
446	616
447	617
448	618
449	619
450	621
451	622
452	624
453	625
454	626
455	627
456	628
457	629
458	631
459	632
460	633
461	634
462	635
463	636
464	637
465	638
466	639
467	640
468	641
469	642
470	643
471	644
472	645
473	646
474	647
475	649
476	650
477	651
478	652
479	654
480	655
481	656
482	658
483	659
484	660
485	661
486	662
487	663
488	664
489	665
490	666
491	667
492	668
493	669
494	670
495	671
496	672
497	673
498	674
499	675
500	676
501	677
502	679
503	680
504	681
505	682
506	683
507	684
508	685
509	686
510	687
511	688
512	689
513	690
514	691
515	692
516	693
517	694
518	695
519	696
520	697
521	698
522	699
523	700
524	701
525	702
526	704
527	706
528	707
529	708
530	709
531	710
532	712
533	713
534	716
535	718
536	720
537	721
538	724
539	725
540	726
541	728
542	729
543	731
544	732
545	733
546	734
547	735
548	736
549	738
550	740
551	741
552	742
553	743
554	744
555	746
556	753
557	754
558	755
559	758
560	759
561	760
562	761
563	762
564	764
565	766
566	767
567	768
568	771
569	772
570	774
571	775
572	777
573	779
574	780
575	781
576	783
577	784
578	785
579	787
580	788
581	790
582	793
583	796
584	799
585	801
586	802
587	803
588	804
589	805
590	806
591	807
592	808
593	809
594	810
595	811
596	813
597	817
598	819
599	820
600	821
601	822
602	824
603	829
604	831
605	832
606	833
607	834
608	835
609	836
610	838
611	839
612	840
613	841
614	842
615	843
616	844
617	845
618	849
619	851
620	852
621	853
622	855
623	856
624	857
625	859
626	860
627	861
628	862
629	863
630	864
631	865
632	866
633	867
634	868
635	870
636	871
637	876
638	878
639	879
640	880
641	881
642	883
643	886
644	888
645	889
646	892
647	893
648	898
649	900
650	901
651	903
652	912
653	914
654	916
655	919
656	920
657	922
658	923
659	924
660	925
661	927
662	929
663	933
664	940
665	941
666	944
667	946
668	950
669	956
670	958
671	959
672	960
673	963
674	964
675	965
676	967
677	968
678	969
679	972
680	974
681	975
682	976
683	978
684	980
685	982
686	985
687	987
688	991
689	994
690	999
691	1003
692	1004
693	1005
694	1006
695	1012
696	1015
697	1022
698	1026
699	1039
700	1044
701	1046
702	1048
703	1053
704	1054
705	1055
706	1060
707	1064
708	1071
709	1073
710	1074
711	1081
712	1085
713	1086
714	1087
715	1096
716	1102
717	1103
718	1104
719	1105
720	1107
721	1108
722	1109
723	1110
724	1111
725	1112
726	1113
727	1114
728	1115
729	1116
730	1117
731	1118
732	1119
733	1120
734	1121
735	1122
736	1123
737	1125
738	1126
739	1127
740	1129
741	1130
742	1131
743	1132
744	1134
745	1135
746	1136
747	1137
748	1138
749	1139
750	1140
751	1141
752	1142
753	1144
754	1145
755	1146
756	1147
757	1148
758	1149
759	1151
760	1152
761	1153
762	1155
763	1156
764	1157
765	1158
766	1159
767	1160
768	1161
769	1162
770	1163
771	1164
772	1165
773	1166
774	1167
775	1169
776	1170
777	1172
778	1173
779	1174
780	1175
781	1176
782	1177
783	1179
784	1180
785	1181
786	1183
787	1184
788	1187
789	1188
790	1189
791	1190
792	1191
793	1192
794	1195
795	1196
796	1198
797	1200
798	1201
799	1202
800	1208
801	1210
802	1212
803	1213
804	1214
805	1215
806	1216
807	1217
808	1219
809	1220
810	1221
811	1224
812	1226
813	1227
814	1228
815	1230
816	1232
817	1233
818	1235
819	1237
820	1238
821	1239
822	1240
823	1242
824	1243
825	1244
826	1246
827	1247
828	1249
829	1250
830	1252
831	1253
832	1255
833	1256
834	1257
835	1259
836	1260
837	1261
838	1263
839	1264
840	1266
841	1267
842	1270
843	1271
844	1272
845	1273
846	1274
847	1275
848	1276
849	1279
850	1280
851	1281
852	1282
853	1283
854	1288
855	1289
856	1290
857	1291
858	1292
859	1293
860	1296
861	1297
862	1298
863	1300
864	1303
865	1304
866	1305
867	1306
868	1307
869	1309
870	1310
871	1311
872	1313
873	1315
874	1316
875	1317
876	1318
877	1319
878	1320
879	1321
880	1322
881	1323
882	1324
883	1325
884	1327
885	1328
886	1329
887	1330
888	1331
889	1334
890	1335
891	1336
892	1337
893	1338
894	1339
895	1340
896	1341
897	1343
898	1345
899	1346
900	1347
901	1349
902	1350
903	1352
904	1353
905	1354
906	1355
907	1356
908	1357
